 Time elapsed was 68066013ns or 0.068066013s,,0.068066013
Time elapsed was 83803195ns or 0.083803195s,,0.083803195
 Time elapsed was 77788879ns or 0.077788879s,,0.077788879
 Time elapsed was 68165810ns or 0.068165810s, ,0.06816581
Time elapsed was 68201526ns or 0.068201526s,,0.068201526
 Time elapsed was 68526519ns or 0.068526519s,,0.068526519
 Time elapsed was 67637655ns or 0.067637655s,,0.067637655
Time elapsed was 69997067ns or 0.069997067s,,0.069997067
Time elapsed was 68215342ns or 0.068215342s,,0.068215342
Time elapsed was 70754998ns or 0.070754998s,,0.070754998
,,
Mean Running Time,,0.0711157
